name,brand,variant,power_badge,status_official,location,shop_name,price,rating,sold,url_shop,url_image
PS Vita Slim Henkaku Full Games,Sony,PlayStation,official store badge,True,Jakarta Barat,PlayStation Gallery,1800000.0,5.0,626.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Uhop1NHAHdbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEH_nFHmFircYpq9z2Qfdi6sJDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2QHsnN6ZFaH_nFbAUhHAVPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHpnXH_eho_HNoAyNoAHdo_yDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_uzgP1Nk3_-6qBja_M2gHjNk3_-6qBjFZ3BRqujp1SByH7ND3uxGqMVAZ_g-qjV2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1Nke_-6uJOE_1PzPJda__-v1pnF_92Dq1h1gpCqQ1u7_BPVPO2k1_CqzV22_MOgP7B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325quxEZ9xozJgM_1ydPOxEeMgy8j-M_1ydPOxEe3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92o8jVO_uzz8JN1__u6zVjO_jzooJN133BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z92vuJVO_M2s8jOkgp-6uV1O_S2SP7N_Zsjibm-sQIupPcua9fBj9RyaUstaHAKOHmFirI-2yfuwyMBjUsthHAnFbm-SQfVD9fBjUstpwe?dv=desktop&pub_domain=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fpsgallery%2Fps-vita-slim-henkaku-full-games-non-memory-70a5b%3Fsrc%3Dtopads&management_type=1&page=1&ob=23&pub_id=0&pub_unit=0&t=desktop&src=directory,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/28/3eb9c2c3-0c45-4f1b-90a7-7fd2dc02720c.png.webp?ect=3g
Konsol Game Sony Playstation 5 Play Station 5 PS 5 PS5 Slim Disc Digital,Sony,PlayStation,official store badge,True,Jakarta Barat,Entraverse,7199000.0,5.0,10.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUhHAeRH_Upbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEos1Fbm-FQRo2PcB5QiUEHiFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhHAnDHsJFHu7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sHhoidNopHdos17HAUO6_1dbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O2oIPvzJJ7_Bzg8JOk__-6qjBE_1zsq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_jH78jYJ__V6qj1a_jzooJOEu_-ouVB2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1Nke_-6uJOE_1PzPJda__-v1pnF_92Dq1h1gpCqQ1u7_BPVPO2k1_CqzV22_MOgP7B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325quxEZ9xozJgM_1ydPOxEeMgy8j-M_1ydPOxEe3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92ouVBO_Ozs8jYJ3_V6zJVN_Bz0H1YAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk__zo8_ea_32u8JNku_-6zcHp_7zSH1N_Zsjibm-sQIupPcua9fBj9RyaUstpH_1aHaFirI-2yfuwyMBjUstfo_nDUMP5y3hwq3ei6soY?src=directory&page=1&pub_domain=0&management_type=2&t=desktop&pub_id=0&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fentraverse%2Fkonsol-game-sony-playstation-5-play-station-5-ps-5-ps5-slim-disc-digital-slim-digital-toko-7-hari-18da7%3Fsrc%3Dtopads&pub_unit=0&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/20/3d080899-5489-4874-9087-28054669eef0.png.webp?ect=3g
"Astro bot, Astrobot, PlayStation 5, PS5 Digital sharing - Secondary card",Sony,PlayStation,official store badge,True,Jakarta Utara,morelife.sneakers,149000.0,5.0,20.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsURH_n7Hpedbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEH_UFHmFircYpq9z2Qfdi6sHDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2QHsnN6ZFaH_nFbAUhHAVPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHpjXoprhHpJh6AjFopyNHiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pzN_jzgHjO1Z_C6qBBd_32zHjNkz_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19uouJON_32o8JNJe_CvuV17_M2soJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBBR_M2u8jOEeMWHuczk_M20PJNJ__ugq_n7_jPqqJh1uMxozOjF_jPzHBBk3MOoe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_uzC8VxEeMgozsxR3AJdPOxEeMgozsxRZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_92oo1hkypoouJOd_uzSo1OJyp-vuJB2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_S2SP1Y11_o6uV1a_1zC81NEe_V6q1tNUiFiyfhOrRzBrBY2gVYfHiUEHpnRHA1DUSCaq3oB9f-2gmUEH_UFHmFigfYxQVY2gmUEHR7?pub_unit=0&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmorelifesneaks%2Fastro-bot-astrobot-playstation-5-ps5-digital-sharing-secondary-card-5350f%3Fsrc%3Dtopads&pub_domain=0&pub_id=0&ob=23&management_type=1&src=directory&page=1&t=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/1/360bad7c-f60f-4c1b-8b9c-c070f849e923.png.webp?ect=3g
PS4 Slim HEN Playstation 4 Slim HEN CFW 1TB Full Game,Sony,PlayStation,official store badge,True,Jakarta Pusat,Butikgames,2950000.0,5.0,41.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUhH_r7HsjRbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEo_nFbm-FQRo2PcB5QiUEomFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhHAnDHsJFHu7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sUdHZda6Ar7HAKdosy7osJDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_uzVP1O1z9xouJud_uzV8JO1z9xouJu2_JoGqMzUZMgsHBgtyfO6Q7BkQfB61peF_BzzH1NJu_C6uVJh_jzuHJN113BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_M2CHjN1_92ozOV7_s-oHjY_HACo8Mh2_VzSHV2Wz9z6u7uR3M2zHV2J3MB6QuBRZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY23I2-8JOJzMgozsxR3I2mgBxEeMgozsxR3I2Cq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81YJz9uoqMrp_jzCoJYJ3_-6zVBdZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_92g8JhkgRPo8MDp_OzuoJYJqp-68ju2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6sHaopjdbm-FrMBsguYiq3ei6s1FHmFigfYxQVY2gmUEHR7?page=1&src=directory&pub_unit=0&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fbutikgames%2Fps4-slim-hen-playstation-4-slim-hen-cfw-1tb-full-game-fat500gb-ce575%3Fsrc%3Dtopads&dv=desktop&pub_id=0&management_type=1&pub_domain=0&ob=23,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/29/0f0fe91b-8581-452d-82e9-875fb1962523.jpg.webp?ect=3g
PS4 Pro 1TB CFW Hen Full Game,Sony,PlayStation,official store badge,True,Jakarta Pusat,Butikgames,3900000.0,5.0,29.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUhH_r7Hsjfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEo_nFbm-FQRo2PcB5QiUEoZFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhHAnDHsJFHu7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sUdomdpHArRopH7HpKNopH7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-H1hkz9BvzJBR_BzV81YJZ9P6uJuN_7o-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z_-ozVjh_92oPO2AHAog8BjO_Vzz8jY9Z9zvzV-W3uHFHuB1eMO6zV-0_MO-HB2ke3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZMgoqjuR_uydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjj7_jH78jOJypo68j7F_92So1NE__C-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBo8B17_c2-oJOk3_-ozJBd_jzoH7OJu_C-QsnYUiFiyfhOrRzBrBY2gVYfHiUEHpUR6_KDUSCaq3oB9f-2gmUEo_nFbm-SQfVD9fBjUstpwe?dv=desktop&ob=23&src=directory&pub_id=0&pub_unit=0&t=desktop&pub_domain=0&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fbutikgames%2Fps4-pro-1tb-cfw-hen-full-game%3Fsrc%3Dtopads&page=1,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/29/48d7b899-7b68-4330-b38b-558f4f84f838.jpg.webp?ect=3g
PS Vita Slim / PSVita Fat Henkaku Full Games Preloved,Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,1975000.0,5.0,81.0,https://www.tokopedia.com/psenterprise/ps-vita-slim-psvita-fat-henkaku-full-games-preloved-fat-black-no-memory-card-e88db?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/16/ed9514ab-3d0f-44e3-9104-64d1ace81e5b.jpg.webp?ect=3g
SONY PS4 Playstation 4 Fat Slim Pro 500 GB 1 TB Bonus Bundle Hit Games,Sony,PlayStation,official store badge,True,Surabaya,Kyuuden Store,2450000.0,5.0,989.0,https://www.tokopedia.com/kyuudenmusic/sony-ps4-playstation-4-fat-slim-pro-500-gb-1-tb-bonus-bundle-hit-games-fat-500-gb-1-stik-e6f5d?extParam=ivf%3Dtrue,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/27/bc5ecaa8-bc8a-463d-95c9-4f0a1fca3b69.jpg.webp?ect=3g
Sony PS5 Console Slim Model PS 5 Playstation 5 Console Disc & Digital,Sony,PlayStation,official store badge,True,Jakarta Barat,souvigameshop,7199000.0,5.0,402.0,https://www.tokopedia.com/souvigameshop/sony-ps5-console-slim-model-ps-5-playstation-5-console-disc-digital-slim-digital-jp-22871?extParam=ivf%3Dtrue,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/19/2e4d95a5-57f5-4e40-a944-212fc21ff830.png.webp?ect=3g
SONY PlayStation 5 / PS5 Console Digital Edition Slim 1TB (SI),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,7171000.0,5.0,78.0,https://www.tokopedia.com/psenterprise/sony-playstation-5-ps5-console-digital-edition-slim-1tb-si-preloved-05412?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/15/f1add7c3-5cd7-44f7-ab2d-3111c75b1add.jpg.webp?ect=3g
SONY PS5 Playstation 5 Disc Digital Resmi Sony Indonesia Bonus Games,Sony,PlayStation,official store badge,True,Surabaya,Kyuuden Store,7699000.0,5.0,441.0,https://www.tokopedia.com/kyuudenmusic/sony-ps5-playstation-5-disc-digital-resmi-sony-indonesia-bonus-games-digital-inter-1-stik-campur-4a4fa?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/24/4faa49da-7380-4ffb-a67d-ab71e56dd688.png.webp?ect=3g
