name,brand,variant,power_badge,status_official,location,shop_name,price,rating,sold,url_shop,url_image
"Black Myth: Wukong, PS5 Digital Sharing",Sony,PlayStation,official store badge,True,Jakarta Utara,morelife.sneakers,199000.0,5.0,580.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsU7HpjpH_Hdbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEo_nFbm-FQRo2PcB5QiUEHZFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhH_rDHsJh6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sUNoZdpop1hosnfHAyNH_KpoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepeO_jzo8jY139BoqBjF_uzuP7Y11_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkqRuouVBR_92CH1OE1926uJud_jzuq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqzJ-k_7zGQ17au9z6z7173uHFHV2W_MBHu7uE3Bz0PVjau_-gucPR_uzsoJOJqRB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBy8jBd_uztgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_OzuP1OEypVouVBR_M2CHjY1z_zo8Mo2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_M2CP1OEu_C6uJBR_7zS81Y1e_VozVV2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6sehHpHObm-FrMBsguYiq3ei6s1FHmFigfYxQVY2gmUEHR7?r=https%3A%2F%2Fwww.tokopedia.com%2Fmorelifesneaks%2Fblack-myth-wukong-ps5-digital-sharing-secondary-card-f50f3%3Fsrc%3Dtopads&management_type=1&dv=desktop&pub_id=0&ob=23&pub_domain=0&page=1&src=directory&pub_unit=0&t=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/24/d6ad006e-ad91-4e33-ba84-491dcce8772e.png.webp?ect=3g
Black Myth : Wukong - PS5 - Playstation 5 Digital Sharing,Sony,PlayStation,official store badge,True,Jakarta Utara,Mahkota Singa Raja,279000.0,5.0,97.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUOosy7osrFbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEo_nFbm-FQRo2PcB5QiUEHiFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhH_rDHsJh6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sUd6ZdNosrfoAepH_eNHpjNbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAoAC6qjJ7_320HJY1_9PvzcHh_BzsHjB2PfBgHO-N3Ao6QVByZM2xe7jfZ32zP1OEypoouJJF_92sH7O1e_Co8MHpZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBW19Pg8MPN3M26QJh11Mxvz7u7_jPqqBB2H3xoHB1O_VP6QJNWz_zozJ1p_7zCo1O2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBD6IBouJ173I2mgjOc6IPyH_xR3I2mgjOc6IP-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMrO_c20HjNE3_C6zJOd_jz08jY1qfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z926zJVO_S2u8JNEz_u6qMoN_1zSH7BXHA7ibm-sQIupPcua9fBj9RyaUst7H_HpoZFirI-2yfuwyMBjUstOHAnDUMP5y3hwq3ei6soY?r=https%3A%2F%2Fwww.tokopedia.com%2Fmaharajagames%2Fblack-myth-wukong-ps5-playstation-5-digital-sharing-primary-c599c%3Fsrc%3Dtopads&pub_id=0&page=1&dv=desktop&pub_domain=0&management_type=1&t=desktop&src=directory&pub_unit=0&ob=23,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/24/0e6d3eb6-f992-473a-8d1b-8ceb286ef871.jpg.webp?ect=3g
Elden Ring : Shadow of The Erdtree - PS4 - PS5 - Digital Game Sharing,Sony,PlayStation,official store badge,True,Jakarta Utara,Mahkota Singa Raja,69000.0,5.0,132.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUaH_nRHsy7bm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEo_nFbm-FQRo2PcB5QiUEHaFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhH_rDHsJh6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sUdHZdfopU76AeaHprp6A1hbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81hkyRPoqMoR_32sP7OkyRPoqMoR_32gq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqzJ-k_7zGQ17au9z6z7173uHFHV2W_MBHu7uE3Bz0PVjau_-gucPR_uzsoJOJqRB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBy8jBd_uztgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_7zVP1NkyRB6zcrF_32oH7OEgpVo17BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjOd_Mj7P7OJz9268MHa_S2-H7NkgfBM1_7YUiFiyfhOrRzBrBY2gVYfHiUEoAJpHp1DUSCaq3oB9f-2gmUEo_nFbm-SQfVD9fBjUstpwe?pub_domain=0&src=directory&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fmaharajagames%2Felden-ring-shadow-of-the-erdtree-ps4-ps5-digital-game-sharing-ps4-sec-shared-f1736%3Fsrc%3Dtopads&pub_id=0&pub_unit=0&page=1&ob=23&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/19/7fa9cab1-9756-47c7-8a75-94fc8fde8bf0.png.webp?ect=3g
Naruto X Boruto Ultimate Ninja Storm Connections - PS4 PS5 Game Sharing,Sony,PlayStation,official store badge,True,Jakarta Utara,Mahkota Singa Raja,89000.0,5.0,64.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsnNoAyRHArRbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEo_nFbm-FQRo2PcB5QiUEomFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhH_rDHsJh6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sUfoadpHprNosJOoAHdHpnOomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3OzPOBEgRBqqjND_VzZqJYIz9z6zO2k33jhqJ7au_uHu7ND_MOVoJOJz_ovzJJO_3B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3Fd81O1z_zy8j-M_1ydPOKh6IPy8j-M_1ydP7B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Ok3_oHqjOE_S20HjO1u_Co8MPE_1zuHJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OEz92HqjJh_uzoH7NE1_C6zVBd_Bz-q3gzv_7ibm-sQIupPcua9fBj9RyaUst7H_HpoZFirI-2yfuwyMBjUstOHAnDUMP5y3hwq3ei6soY?t=desktop&dv=desktop&src=directory&page=1&pub_domain=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fmaharajagames%2Fnaruto-x-boruto-ultimate-ninja-storm-connections-ps4-ps5-game-sharing-secondary-9322e%3Fsrc%3Dtopads&pub_id=0&ob=23&pub_unit=0&management_type=1,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/11/9c63b25e-762c-499a-93c5-4564cea8e8d2.png.webp?ect=3g
Grand Theft Auto 5 - GTA 5 - PS4 - PlayStation4 Game Sharing,Sony,PlayStation,official store badge,True,Jakarta Utara,Mahkota Singa Raja,49000.0,5.0,72.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUO6AKpHpyRbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsyhHpyO6_UDUMoFyaUEo_nFbm-FQRo2PcB5QiUEoZFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDaHAjNbAUhH_rDHsJh6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sUdHidFHArdHsKhHse7HpeRbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7hkypz68BVR_uzuH7NJgRPo8j1F_Ozuq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqzJ-k_7zGQ17au9z6z7173uHFHV2W_MBHu7uE3Bz0PVjau_-gucPR_uzsoJOJqRB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBy8jBd_uztgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_7z-P1OJe_ovzJj7_uz-HJNJ__C681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjOd_1H7H7YJqRPvuV17_Ozg8jOJe_--QsnYUiFiyfhOrRzBrBY2gVYfHiUEH_K7op1DUSCaq3oB9f-2gmUEo_nFbm-SQfVD9fBjUstpwe?dv=desktop&pub_unit=0&src=directory&pub_domain=0&pub_id=0&page=1&management_type=1&t=desktop&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fmaharajagames%2Fgrand-theft-auto-5-gta-5-ps4-playstation4-game-sharing-secondary-a0483%3Fsrc%3Dtopads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/9/8810f0e8-677b-40ef-b3a2-b0bc86650280.jpg.webp?ect=3g
PS5 Final Fantasy XVI (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,529000.0,5.0,424.0,https://www.tokopedia.com/psenterprise/ps5-final-fantasy-xvi-r3-english-reg-2-a6c1d?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/10/6361a78b-b918-49da-b71c-b6b2948f5bed.jpg.webp?ect=3g
PS4 Gran Turismo 7 (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,581950.0,5.0,173.0,https://www.tokopedia.com/psenterprise/ps4-gran-turismo-7-r3-english-euro-3390e?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/7/f26e876e-6f1c-4d2a-b168-9a170329e593.jpg.webp?ect=3g
PS5 Gran Turismo 7 (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,641690.0,5.0,178.0,https://www.tokopedia.com/psenterprise/ps5-gran-turismo-7-r3-english-reg-2-193e0?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/7/d132c266-21cb-4b14-94de-2bac1b02ae16.jpg.webp?ect=3g
PS5 SpiderMan 2 / Marvels Spider Man 2 (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,296640.0,5.0,329.0,https://www.tokopedia.com/psenterprise/ps5-spiderman-2-marvels-spider-man-2-r3-english-digital-code-7ae50?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/20/88e30e28-d2dc-4772-aa89-55e5f8212b97.jpg.webp?ect=3g
PS5 Granturismo 7 Gran Turismo 7 GT 7 Gt7,Sony,PlayStation,official store badge,True,Jakarta Utara,Suyanto//Liberty Game,626000.0,5.0,148.0,https://www.tokopedia.com/libertygame/ps5-granturismo-7-gran-turismo-7-gt-7-gt7-r2-game-only?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/6/20/e3c2f1a5-b278-4343-a1b2-4a335df02349.jpg.webp?ect=3g
